time,ref_x,ref_y,ref_z,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi
0.0000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000246,0.000020,0.000596,0.000000,0.000000,0.000000,-0.000018,-0.000030,0.000007,0.000000,0.000000,-0.000319,-0.001420,0.000118,0.098710,0.000032,0.000088,-0.000010,-0.002086,0.001186,0.000845,0.000025,0.020698,0.000000,4.321392,0.000094,0.000334,-0.000066,4.483246,0.000014,0.000051,-0.000010
0.0050,3.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000246,0.000020,0.000596,0.000000,0.000000,-0.000000,-0.000059,0.000039,0.000007,0.000000,0.000000,-0.000908,-0.001420,0.000118,0.098710,0.000092,0.000252,-0.000027,-0.008479,0.008424,0.000644,0.000025,0.020698,0.000000,4.321392,0.000094,0.000334,-0.000066,4.458399,0.000027,0.000095,-0.000019
0.0100,3.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000136,0.000173,0.001555,0.000001,0.000002,-0.000000,0.000020,0.000030,0.000013,0.000000,-0.000000,-0.001726,0.002484,0.000982,0.140444,0.000118,0.000514,-0.000056,0.001531,0.005645,0.001173,0.000025,0.020698,0.000000,4.321392,-0.000070,0.000467,-0.000094,4.437366,0.000012,0.000152,-0.000030
0.0150,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000015,0.000136,0.000173,0.001555,0.000001,0.000004,-0.000000,0.000044,0.000135,0.000070,0.000000,-0.000000,-0.002737,0.002484,0.000982,0.140444,0.000116,0.000859,-0.000094,-0.000347,0.014605,0.006342,0.000025,0.020698,0.000000,4.321392,-0.000070,0.000467,-0.000094,4.419562,-0.000001,0.000200,-0.000040
0.0200,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000028,0.000105,0.000372,0.002773,0.000002,0.000009,-0.000001,0.000081,0.000109,0.000122,0.000000,-0.000000,-0.003912,0.004644,0.002603,0.168658,0.000096,0.001370,-0.000229,0.000486,0.005331,0.008677,0.000025,0.020698,0.000000,4.321392,-0.000052,0.000826,-0.000710,4.404491,-0.000009,0.000296,-0.000143
0.0250,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000048,0.000105,0.000372,0.002773,0.000002,0.000015,-0.000002,0.000100,0.000162,0.000175,0.000001,-0.000000,-0.005226,0.004644,0.002603,0.168658,0.000062,0.002021,-0.000446,-0.000761,0.006383,0.010050,0.000025,0.020698,0.000000,4.321392,-0.000052,0.000826,-0.000710,4.391734,-0.000015,0.000378,-0.000230
0.0300,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000074,0.000100,0.000197,0.004362,0.000003,0.000026,-0.000004,0.000119,0.000279,0.000127,0.000001,-0.000000,-0.006657,0.006956,0.002826,0.186693,-0.000001,0.002791,-0.000650,0.001168,0.011396,0.000963,0.000025,0.020698,0.000000,4.321392,-0.000097,0.000827,-0.000144,4.380935,-0.000028,0.000447,-0.000217
0.0350,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000107,0.000100,0.000197,0.004362,0.000003,0.000039,-0.000008,0.000197,0.000310,0.000129,0.000003,-0.000000,-0.008188,0.006956,0.002826,0.186693,-0.000087,0.003662,-0.000844,0.008035,0.007768,0.001130,0.000025,0.020698,0.000000,4.321392,-0.000097,0.000827,-0.000144,4.371794,-0.000039,0.000505,-0.000206
0.0400,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000148,0.000170,0.000429,0.005748,0.000002,0.000058,-0.000012,0.000257,0.000316,0.000157,0.000005,-0.000001,-0.009802,0.008251,0.005210,0.195637,-0.000260,0.004797,-0.001054,0.004442,0.004891,0.003008,0.000025,0.020698,0.000000,4.321392,-0.000291,0.001504,-0.000315,4.364057,-0.000077,0.000658,-0.000222
0.0450,3.000000,0.000000,0.000000,0.000000,-0.000000,-0.000197,0.000170,0.000429,0.005748,0.000001,0.000082,-0.000017,0.000231,0.000334,0.000159,0.000007,-0.000001,-0.011488,0.008251,0.005210,0.195637,-0.000506,0.006156,-0.001277,0.005478,0.007573,0.001386,0.000025,0.020698,0.000000,4.321392,-0.000291,0.001504,-0.000315,4.357507,-0.000110,0.000788,-0.000237
