time,out_motors,out_plant,out_kalman,out_mpc,out_sensors,out_mahony,out_lqi,up_kalman,up_mpc,up_lqi,up_mocap,up_motors,up_plant
0.0000,2.00,4.00,1.00,1919.00,8.00,4.00,2.00,4.00,1.00,0.00,0.00,1.00,1.00
0.0050,1.00,3.00,-1.00,-1.00,3.00,3.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.0100,0.00,1.00,1.00,-1.00,2.00,1.00,1.00,3.00,-1.00,1.00,0.00,0.00,1.00
0.0150,1.00,1.00,-1.00,-1.00,3.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.0200,1.00,2.00,1.00,-1.00,3.00,2.00,0.00,4.00,-1.00,0.00,0.00,0.00,0.00
0.0250,0.00,2.00,-1.00,-1.00,3.00,2.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.0300,1.00,2.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,0.00,1.00,0.00,0.00
0.0350,1.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.0400,1.00,1.00,0.00,-1.00,1.00,1.00,0.00,2.00,-1.00,1.00,0.00,1.00,0.00
0.0450,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.0500,0.00,2.00,0.00,-1.00,2.00,0.00,0.00,4.00,-1.00,1.00,1.00,0.00,0.00
0.0550,0.00,2.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,0.00,0.00
0.0600,1.00,1.00,1.00,-1.00,3.00,1.00,1.00,4.00,-1.00,0.00,0.00,1.00,0.00
0.0650,0.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.0700,0.00,1.00,0.00,-1.00,2.00,1.00,1.00,3.00,-1.00,0.00,0.00,1.00,0.00
0.0750,1.00,1.00,-1.00,-1.00,1.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.0800,0.00,1.00,0.00,-1.00,1.00,1.00,1.00,3.00,-1.00,1.00,0.00,1.00,0.00
0.0850,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.0900,1.00,1.00,0.00,-1.00,2.00,1.00,1.00,2.00,-1.00,1.00,0.00,0.00,0.00
0.0950,1.00,1.00,-1.00,-1.00,2.00,2.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.1000,0.00,0.00,0.00,4683.00,7.00,3.00,1.00,4.00,0.00,1.00,1.00,0.00,0.00
0.1050,0.00,2.00,-1.00,-1.00,4.00,2.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.1100,0.00,1.00,1.00,-1.00,3.00,1.00,1.00,4.00,-1.00,0.00,0.00,1.00,0.00
0.1150,0.00,2.00,-1.00,-1.00,4.00,2.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.1200,1.00,2.00,0.00,-1.00,4.00,3.00,1.00,4.00,-1.00,1.00,1.00,1.00,0.00
0.1250,1.00,3.00,-1.00,-1.00,4.00,4.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.1300,1.00,3.00,1.00,-1.00,4.00,3.00,1.00,5.00,-1.00,1.00,0.00,1.00,0.00
0.1350,1.00,2.00,-1.00,-1.00,3.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,2.00,1.00
0.1400,1.00,2.00,0.00,-1.00,4.00,3.00,0.00,6.00,-1.00,1.00,1.00,1.00,0.00
0.1450,1.00,3.00,-1.00,-1.00,4.00,3.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.1500,0.00,1.00,0.00,-1.00,3.00,1.00,0.00,5.00,-1.00,1.00,0.00,0.00,0.00
0.1550,0.00,3.00,-1.00,-1.00,4.00,3.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
0.1600,1.00,3.00,1.00,-1.00,7.00,4.00,0.00,4.00,-1.00,0.00,1.00,1.00,0.00
0.1650,0.00,1.00,-1.00,-1.00,2.00,1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,1.00
0.1700,1.00,2.00,0.00,-1.00,3.00,2.00,1.00,15.00,-1.00,3.00,2.00,1.00,1.00
0.1750,2.00,11.00,-1.00,-1.00,21.00,15.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00,0.00
