time,ref_x,ref_y,ref_z,ref_dx,ref_dy,ref_dz,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mocap_x,mocap_y,mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9201e-05,-3.5722e-05,1.7387e-06,0,0,0,0,0,0,0,0,0,0.00017012,0.00016861,0.00016936,0.004575,-0.047498,0,4.5312,-7.8596e-06,-7.7091e-07,-8.8114e-06,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0,0,0
0.0050,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8055e-05,-7.1106e-05,3.4762e-06,0,0,0,0,0,0,0,0,0,0.00025805,0.00025506,0.00025655,0.004575,-0.047498,0,4.5312,-7.8596e-06,-7.7091e-07,-8.8114e-06,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0,0,0
0.0100,0,3,0,0,0,0,0,0,0,-1.1661e-08,-1.5185e-10,6.2977e-16,0,0,0,0.00011682,-0.00010641,5.2125e-06,0,0,0,-1.3223e-06,-3.6021e-08,1.4932e-13,0,0,0,0.00030368,0.0002992,0.00030144,0.004575,-0.047498,0,4.5312,-1.872e-05,2.9956e-06,-1.6111e-05,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0.14978,0.14962,0.15
0.0150,0,3,0,0,0,0,0,0,0,-1.1661e-08,-1.5185e-10,6.2977e-16,0,0,0,0.00015546,-0.0001416,6.9475e-06,0,0,0,-1.3223e-06,-3.6021e-08,1.4932e-13,0,0,0,0.00032753,0.00032157,0.00032455,0.004575,-0.047498,0,4.5312,-1.872e-05,2.9956e-06,-1.6111e-05,4.5155,-1.2066e-06,-1.1835e-07,-1.3527e-06,0,0,0.0062068,0.15,0.15,9.9662,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0.14978,0.14962,0.15
0.0200,0,3,0,0,0,0,0,0,0,7.4388e-06,7.4801e-06,8.073e-06,0,0,0,0.00017185,-0.00013968,1.6713e-05,0,0,3.1034e-05,0.0014934,0.0014961,0.0016146,-2.6933e-06,-2.0405e-07,-1.2761e-06,0.00033841,0.00033337,0.00033599,0.004575,-0.047498,0,4.5312,-2.5051e-05,5.4983e-06,-2.0157e-05,4.5179,-2.2279e-06,-2.1853e-07,-2.4978e-06,0,0,0.011461,0.15,0.15,9.9715,0.00034637,0.00034886,0.00034779,22.52,-0.33122,-41.902,0,0,0,0.14927,0.14886,0.15
0.0250,0,3,0,0,0,0,0,0,1.5517e-07,7.4388e-06,7.4801e-06,8.073e-06,-1.3466e-08,-1.0202e-09,-6.3807e-09,0.00018813,-0.00013777,2.6446e-05,0,0,8.8338e-05,0.0014934,0.0014961,0.0016146,-7.6664e-06,-5.8082e-07,-3.6325e-06,0.00034174,0.00033926,0.00034081,0.004575,-0.047498,0,4.5312,-2.5051e-05,5.4983e-06,-2.0157e-05,4.5199,-4.7598e-06,2.749e-07,-4.5876e-06,-1.0025e-08,1.3232e-07,0.015908,0.15,0.15,9.9759,0.0003414,0.00034849,0.00034543,22.52,-0.33122,-41.902,0,0,0,0.14927,0.14886,0.15
0.0300,0,3,0,0,0,0,0,0,5.9686e-07,2.8632e-05,2.8694e-05,3.1419e-05,-5.1798e-08,-3.9243e-09,-2.4543e-08,0.00020447,-0.00013598,3.6136e-05,-5.0124e-11,6.616e-10,0.00016788,0.0029769,0.0029778,0.0033039,-1.8291e-05,-1.0686e-07,-7.9604e-06,0.00033844,0.00034253,0.00034127,0.004575,-0.047498,0,4.5312,-2.8349e-05,4.9155e-06,-2.4344e-05,4.5216,-6.903e-06,6.9257e-07,-6.3566e-06,-3.8575e-08,5.0916e-07,0.019673,0.15,0.15,9.9797,0.00033077,0.00034896,0.00034111,22.52,-0.33122,-41.902,0,0,0,0.14888,0.14832,0.16146
0.0350,0,3,0,0,0,0,-2.5062e-13,3.308e-12,1.4363e-06,2.8632e-05,2.8694e-05,3.1419e-05,-1.4325e-07,-4.4586e-09,-6.4345e-08,0.00022065,-0.0001342,4.5774e-05,-2.43e-10,3.2074e-09,0.00026624,0.0029769,0.0029778,0.0033039,-3.37e-05,1.0872e-06,-1.3957e-05,0.00032941,0.00034479,0.00033867,0.004575,-0.047498,0,4.5312,-2.8349e-05,4.9155e-06,-2.4344e-05,4.5231,-9.6891e-06,1.4303e-06,-8.4752e-06,-4.3841e-08,1.4086e-06,0.02286,0.15,0.15,9.9829,0.00031537,0.00035015,0.00033511,22.52,-0.33122,-41.902,0,0,0,0.14888,0.14832,0.16146
0.0400,0,3,0,0,0,0,-1.4656e-12,1.9345e-11,2.7675e-06,6.1284e-05,6.1324e-05,6.8812e-05,-3.1175e-07,9.7753e-10,-1.3413e-07,0.00023678,-0.0001325,5.5351e-05,-4.6221e-10,1.025e-08,0.00038054,0.0044386,0.0044346,0.0051453,-5.5327e-05,3.5534e-06,-2.1953e-05,0.00031441,0.00034714,0.00033354,0.004575,-0.047498,0,4.5312,-3.1065e-05,4.472e-06,-2.7847e-05,4.5244,-1.2047e-05,2.0549e-06,-1.0269e-05,9.6149e-09,3.0662e-06,0.025557,0.15,0.15,9.9856,0.00029374,0.00035262,0.00032711,22.52,-0.3312,-41.902,0,0,5.9686e-07,0.14875,0.148,0.16967
0.0450,0,3,0,0,0,0,-3.7766e-12,7.0597e-11,4.6702e-06,6.1284e-05,6.1324e-05,6.8812e-05,-5.8839e-07,1.8744e-08,-2.4389e-07,0.00025269,-0.00013079,6.4858e-05,-4.1413e-10,2.5582e-08,0.00050833,0.0044386,0.0044346,0.0051453,-8.2218e-05,7.0962e-06,-3.164e-05,0.00029378,0.00035008,0.00032627,0.004575,-0.047498,0,4.5312,-3.1065e-05,4.472e-06,-2.7847e-05,4.5254,-1.455e-05,2.494e-06,-1.2429e-05,1.844e-07,5.7884e-06,0.02784,0.15,0.15,9.9878,0.00026685,0.00035616,0.00031743,22.52,-0.3312,-41.902,0,0,5.9686e-07,0.14875,0.148,0.16967
