time,ref_x,ref_y,ref_z,ref_dx,ref_dy,ref_dz,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,meas_gyro_x,meas_gyro_y,meas_gyro_z,meas_mag_x,meas_mag_y,meas_mag_z,meas_mocap_x,meas_mocap_y,meas_mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5698e-05,-2.6689e-05,1.9504e-05,0,0,0,0,0,0,0,0,0,0.0019001,0.0018982,0.0018992,-8.8572e-18,-0.0055188,0,4.5126,-5.0588e-05,-4.6698e-05,-9.8808e-05,4.5126,0,0,0,0,0,0,0.18565,0.18565,9.9957,0.0039143,0.0039143,0.0039143,22.733,-0.11731,-41.688,0.00035652,0.00035652,0.00035652,0,0,0
0.0050,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028024,-1.0041e-08,0.00014018,0,0,0,0,0,0,0,0,0,0.01273,0.012724,0.012727,-8.8572e-18,-0.0055188,0,4.5126,-5.0588e-05,-4.6698e-05,-9.8808e-05,4.5126,0,0,0,0,0,0,0.38867,0.38867,10.199,0.024216,0.024216,0.024216,22.733,-0.11731,-41.688,0.00035652,0.00035652,0.00035652,0,0,0
0.0100,3,0,0,0,0,0,0,0,0,5.6687e-05,5.6699e-05,5.6699e-05,0,0,0,0.00025465,-5.7082e-05,9.9185e-05,0,0,0,0.00032591,0.00032688,0.00032694,0,0,0,0.0025642,0.002558,0.0025611,-8.8572e-18,-0.0055188,0,4.5126,-8.4875e-05,-6.0783e-05,-0.00014795,4.5126,0,0,0,0,0,0,0.064257,0.064257,9.8743,-0.0082252,-0.0082252,-0.0082252,22.733,-0.11731,-41.688,0.0023867,0.0023867,0.0023867,0.1855,0.18501,0.18565
0.0150,3,0,0,0,0,0,0,0,0,5.6687e-05,5.6699e-05,5.6699e-05,0,0,0,0.00038799,-5.936e-05,0.00016499,0,0,0,0.00032591,0.00032688,0.00032694,0,0,0,0.0077286,0.0077197,0.0077242,-8.8572e-18,-0.0055188,0,4.5126,-8.4875e-05,-6.0783e-05,-0.00014795,4.5126,-7.7661e-06,-7.169e-06,-1.5169e-05,0,0,0,0.27853,0.27853,10.089,0.013202,0.013202,0.013202,22.733,-0.11731,-41.688,0.0023867,0.0023867,0.0023867,0.1855,0.18501,0.18565
0.0200,3,0,0,0,0,0,0,0,0,0.00043975,0.00043976,0.0004398,0,0,0,0.00039906,-4.3777e-05,0.00017888,0,0,0,0.004316,0.0043135,0.0043201,-1.7335e-05,-1.236e-05,-1.431e-05,0.0050938,0.0050873,0.0050908,-8.8572e-18,-0.0055188,0,4.5126,-0.00015797,-0.00012794,-0.00029044,4.5126,-1.434e-05,-1.3237e-05,-2.8009e-05,0,0,0,0.16962,0.16962,9.9796,0.0022937,0.0022987,0.0022967,23.952,1.1008,-40.47,-0.00085743,-0.00085743,-0.00085743,0.063864,0.061777,0.064257
0.0250,3,0,0,0,0,0,0,0,0,0.00043975,0.00043976,0.0004398,-8.6676e-08,-6.1801e-08,-7.1551e-08,0.00036595,-4.2588e-05,0.0001635,0,0,0,0.004316,0.0043135,0.0043201,-4.9344e-05,-3.5183e-05,-4.0734e-05,0.00088758,0.0008875,0.00088845,-8.8572e-18,-0.0055188,0,4.5126,-0.00015797,-0.00012794,-0.00029044,4.5126,-2.5169e-05,-2.0537e-05,-4.6422e-05,-6.0627e-07,8.5029e-07,-5.5067e-14,0.11121,0.11121,9.9212,-0.0035792,-0.003565,-0.0035706,23.952,1.1008,-40.47,-0.00085743,-0.00085743,-0.00085743,0.063864,0.061777,0.064257
0.0300,3,0,0,0,0,0,0,0,0,0.0002798,0.00027969,0.00027991,-3.334e-07,-2.3772e-07,-2.7522e-07,0.00032401,-8.5469e-05,0.00012144,-3.0314e-09,4.2514e-09,-2.7534e-16,0.0037648,0.0037416,0.0037731,-0.00010552,-7.0591e-05,-8.4528e-05,-0.0038857,-0.0038728,-0.003877,-8.8572e-18,-0.0055188,0,4.5126,5.7482e-05,0.00010947,0.00016907,4.5126,-3.4335e-05,-2.6715e-05,-6.2008e-05,-2.332e-06,3.2706e-06,-8.2068e-13,0.05802,0.05802,9.868,-0.0089545,-0.0089196,-0.0089335,23.952,1.1008,-40.47,0.0012853,0.0012853,0.0012853,0.16923,0.16572,0.16962
0.0350,3,0,0,0,0,0,-1.5157e-11,2.1257e-11,-1.3767e-18,0.0002798,0.00027969,0.00027991,-8.6102e-07,-5.9067e-07,-6.9786e-07,0.00036101,-0.00010218,0.00013186,-1.4691e-08,2.0605e-08,-4.3787e-15,0.0037648,0.0037416,0.0037731,-0.00018216,-0.00011665,-0.00014303,-0.0012481,-0.0012147,-0.0012271,-8.8572e-18,-0.0055188,0,4.5126,5.7482e-05,0.00010947,0.00016907,4.5126,-5.3315e-05,-4.2255e-05,-9.7076e-05,-5.7945e-06,8.4466e-06,-5.3451e-12,0.16378,0.16378,9.9738,0.0015451,0.0016106,0.0015842,23.952,1.1008,-40.47,0.0012853,0.0012853,0.0012853,0.16923,0.16572,0.16962
0.0400,3,0,0,0,0,0,-8.8614e-11,1.2428e-10,-2.327e-17,0.00048581,0.00048532,0.00048601,-1.7718e-06,-1.1739e-06,-1.413e-06,0.00034876,-8.3229e-05,0.00013105,-4.3664e-08,6.2837e-08,-3.1104e-14,0.0063775,0.006321,0.0063913,-0.00030117,-0.00018951,-0.00023461,0.0021822,0.0022497,0.0022233,-8.8572e-18,-0.0055188,0,4.5126,-8.5639e-05,-5.0073e-05,-0.00013767,4.5126,-6.9381e-05,-5.541e-05,-0.00012676,-1.1516e-05,1.7382e-05,-2.2158e-11,0.20771,0.20771,10.018,0.0058188,0.0059304,0.0058853,22.005,-0.84557,-42.416,0.0001962,0.0001962,0.0001962,0.057343,0.054834,0.05802
0.0450,3,0,0,0,0,0,-3.0693e-10,4.3847e-10,-1.7879e-16,0.00048581,0.00048532,0.00048601,-3.2777e-06,-2.1215e-06,-2.586e-06,0.00031145,-7.2844e-05,0.00011345,-1.0125e-07,1.4975e-07,-1.419e-13,0.0063775,0.006321,0.0063913,-0.00045604,-0.00028504,-0.00035419,0.0022957,0.0024101,0.0023645,-8.8572e-18,-0.0055188,0,4.5126,-8.5639e-05,-5.0073e-05,-0.00013767,4.5126,-4.9905e-05,-3.0098e-05,-8.1345e-05,-2.0811e-05,3.2154e-05,-7.477e-11,0.17521,0.17521,9.9852,0.0024142,0.0025852,0.002516,22.005,-0.84557,-42.416,0.0001962,0.0001962,0.0001962,0.057343,0.054834,0.05802
0.0500,3,0,0,0,0,0,-8.1316e-10,1.1872e-09,-8.8827e-16,0.00050639,0.00050529,0.00050674,-5.5579e-06,-3.5467e-06,-4.357e-06,0.0003206,-8.4026e-05,0.00010842,-2.053e-07,3.1052e-07,-5.1575e-13,0.0066845,0.0066042,0.0067057,-0.00056743,-0.00033693,-0.00043093,0.003557,0.0037235,0.0036564,-8.8572e-18,-0.0055188,0,4.5126,-0.00011475,-8.833e-05,-0.00020475,4.5126,-3.3419e-05,-8.6726e-06,-4.2901e-05,-3.4793e-05,5.4523e-05,-2.1321e-10,0.20111,0.20111,10.011,0.0048929,0.0051234,0.0050294,22.005,-0.84557,-42.416,-0.00038789,-0.00038789,-0.00038789,0.20698,0.20429,0.20771
0.0550,3,0,0,0,0,0,-1.8397e-09,2.7398e-09,-3.467e-15,0.00050639,0.00050529,0.00050674,-8.395e-06,-5.2313e-06,-6.5117e-06,0.00032827,-9.5627e-05,0.00010246,-3.7927e-07,5.8313e-07,-1.5818e-12,0.0066845,0.0066042,0.0067057,-0.00064203,-0.00035188,-0.00047141,0.0040998,0.0043219,0.0042314,-8.8572e-18,-0.0055188,0,4.5126,-0.00011475,-8.833e-05,-0.00020475,4.5126,-4.1436e-05,-1.5028e-05,-5.745e-05,-5.1319e-05,8.2356e-05,-4.7992e-10,0.19967,0.19967,10.01,0.0046736,0.0049638,0.0048443,22.005,-0.84557,-42.416,-0.00038789,-0.00038789,-0.00038789,0.20698,0.20429,0.20771
0.0600,3,0,0,0,0,0,-3.736e-09,5.6554e-09,-1.1376e-14,0.00044135,0.0004395,0.0004419,-1.1605e-05,-6.9908e-06,-8.8687e-06,0.00033962,-8.5204e-05,0.00011455,-6.3586e-07,9.9491e-07,-3.9814e-12,0.0079338,0.007828,0.0079624,-0.00073452,-0.00037779,-0.00052561,0.0012525,0.0015358,0.0014194,-8.8572e-18,-0.0055188,0,4.5126,-6.3329e-05,-3.1258e-05,-9.4285e-05,4.5126,-4.8222e-05,-2.0408e-05,-6.9764e-05,-6.8579e-05,0.00011385,-9.0032e-10,0.13614,0.13614,9.9461,-0.0017716,-0.0014149,-0.0015627,23.29,0.44066,-41.131,-0.0009198,-0.0009198,-0.0009198,0.20034,0.19796,0.20111
0.0650,3,0,0,0,0,0,-6.9153e-09,1.063e-08,-3.1283e-14,0.00044135,0.0004395,0.0004419,-1.5278e-05,-8.8798e-06,-1.1497e-05,0.00045481,-4.0726e-05,0.00019567,-9.7875e-07,1.5641e-06,-8.483e-12,0.0079338,0.007828,0.0079624,-0.00084216,-0.00041298,-0.00059142,0.0064889,0.0068373,0.0066935,-8.8572e-18,-0.0055188,0,4.5126,-6.3329e-05,-3.1258e-05,-9.4285e-05,4.5126,-5.8435e-05,-3.0835e-05,-9.0488e-05,-8.7109e-05,0.00014988,-1.5316e-09,0.27533,0.27533,10.085,0.01204,0.012469,0.012291,23.29,0.44066,-41.131,-0.0009198,-0.0009198,-0.0009198,0.20034,0.19796,0.20111
