time,ref_x,ref_y,ref_z,ref_dx,ref_dy,ref_dz,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,meas_gyro_x,meas_gyro_y,meas_gyro_z,meas_mag_x,meas_mag_y,meas_mag_z,meas_mocap_x,meas_mocap_y,meas_mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9201e-05,-3.5722e-05,1.7387e-06,0,0,0,0,0,0,0,0,0,0.00017012,0.00016861,0.00016936,0.0069541,-0.0049464,0,4.4963,-7.8596e-06,-7.7091e-07,-8.8114e-06,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0,0,0
0.0050,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,7.8055e-05,-7.1106e-05,3.4762e-06,0,0,0,0,0,0,0,0,0,0.00025805,0.00025506,0.00025655,0.0069541,-0.0049464,0,4.4963,-7.8596e-06,-7.7091e-07,-8.8114e-06,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0,0,0
0.0100,3,3,3,0,0,0,0,0,0,-1.1661e-08,-1.5185e-10,6.2977e-16,0,0,0,0.00011682,-0.00010641,5.2125e-06,0,0,0,-1.3223e-06,-3.6021e-08,1.4932e-13,0,0,0,0.00030368,0.0002992,0.00030144,0.0069541,-0.0049464,0,4.4963,-1.872e-05,2.9956e-06,-1.6111e-05,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0.14978,0.14962,0.15
0.0150,3,3,3,0,0,0,0,0,0,-1.1661e-08,-1.5185e-10,6.2977e-16,0,0,0,0.00015551,-0.00014164,6.9475e-06,0,0,0,-1.3223e-06,-3.6021e-08,1.4932e-13,0,0,0,0.00032753,0.00032157,0.00032455,0.0069541,-0.0049464,0,4.4963,-1.872e-05,2.9956e-06,-1.6111e-05,4.5101,-1.2066e-06,-1.1835e-07,-1.3527e-06,0,0,-0.0054482,0.15,0.15,9.9546,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0.14978,0.14962,0.15
0.0200,3,3,3,0,0,0,0,0,0,7.4388e-06,7.4801e-06,6.997e-06,0,0,0,0.00017189,-0.00013972,1.6713e-05,0,0,-2.7241e-05,0.0014934,0.0014961,0.0013994,-2.6933e-06,-2.0405e-07,-1.2761e-06,0.00033841,0.00033337,0.00033599,0.0069541,-0.0049464,0,4.4963,-2.5055e-05,5.5028e-06,-2.0157e-05,4.508,-2.2279e-06,-2.1853e-07,-2.4978e-06,0,0,-0.01006,0.15,0.15,9.9499,0.00034637,0.00034886,0.00034779,22.52,-0.33122,-41.902,0,0,0,0.14927,0.14886,0.15
0.0250,3,3,3,0,0,0,0,0,-1.3621e-07,7.4388e-06,7.4801e-06,6.997e-06,-1.3466e-08,-1.0202e-09,-6.3807e-09,0.00018817,-0.00013781,2.6446e-05,0,0,-7.7542e-05,0.0014934,0.0014961,0.0013994,-7.6664e-06,-5.8082e-07,-3.6325e-06,0.00034174,0.00033926,0.00034081,0.0069541,-0.0049464,0,4.4963,-2.5055e-05,5.5028e-06,-2.0157e-05,4.5062,-4.7598e-06,2.749e-07,-4.5876e-06,-9.9943e-09,1.3192e-07,-0.013964,0.15,0.15,9.946,0.0003414,0.00034849,0.00034543,22.52,-0.33122,-41.902,0,0,0,0.14927,0.14886,0.15
0.0300,3,3,3,0,0,0,0,0,-5.2391e-07,2.8632e-05,2.8694e-05,2.6515e-05,-5.1798e-08,-3.9243e-09,-2.4543e-08,0.00020451,-0.00013603,3.6135e-05,-4.9972e-11,6.5959e-10,-0.00014736,0.0029769,0.0029778,0.0027203,-1.8291e-05,-1.0686e-07,-7.9604e-06,0.00033845,0.00034253,0.00034127,0.0069541,-0.0049464,0,4.4963,-2.8353e-05,4.9201e-06,-2.4344e-05,4.5047,-6.903e-06,6.9257e-07,-6.3566e-06,-3.843e-08,5.0725e-07,-0.017268,0.15,0.15,9.9427,0.00033077,0.00034896,0.00034111,22.52,-0.33122,-41.902,0,0,0,0.14888,0.14832,0.13994
0.0350,3,3,3,0,0,0,-2.4986e-13,3.2979e-12,-1.2607e-06,2.8632e-05,2.8694e-05,2.6515e-05,-1.4325e-07,-4.4586e-09,-6.4345e-08,0.00022069,-0.00013424,4.5774e-05,-2.4212e-10,3.1958e-09,-0.0002337,0.0029769,0.0029778,0.0027203,-3.37e-05,1.0872e-06,-1.3957e-05,0.00032941,0.00034479,0.00033867,0.0069541,-0.0049464,0,4.4963,-2.8353e-05,4.9201e-06,-2.4344e-05,4.5034,-9.6897e-06,1.431e-06,-8.4752e-06,-4.365e-08,1.4024e-06,-0.020066,0.15,0.15,9.9399,0.00031537,0.00035015,0.00033511,22.52,-0.33122,-41.902,0,0,0,0.14888,0.14832,0.13994
0.0400,3,3,3,0,0,0,-1.4605e-12,1.9277e-11,-2.4292e-06,6.1284e-05,6.1324e-05,5.5376e-05,-3.1175e-07,9.7753e-10,-1.3413e-07,0.00023682,-0.00013255,5.535e-05,-4.6037e-10,1.0208e-08,-0.00033403,0.0044386,0.0044346,0.003871,-5.5328e-05,3.5545e-06,-2.1953e-05,0.00031441,0.00034714,0.00033354,0.0069541,-0.0049464,0,4.4963,-3.1069e-05,4.4767e-06,-2.7847e-05,4.5023,-1.2049e-05,2.0561e-06,-1.0269e-05,9.568e-09,3.0513e-06,-0.022433,0.15,0.15,9.9376,0.00029374,0.00035262,0.00032711,22.52,-0.3312,-41.902,0,0,-5.2391e-07,0.14875,0.148,0.13273
0.0450,3,3,3,0,0,0,-3.7623e-12,7.0317e-11,-4.0994e-06,6.1284e-05,6.1324e-05,5.5376e-05,-5.8839e-07,1.875e-08,-2.4389e-07,0.00025274,-0.00013084,6.4858e-05,-4.1253e-10,2.5464e-08,-0.0004462,0.0044386,0.0044346,0.003871,-8.2223e-05,7.0996e-06,-3.164e-05,0.00029378,0.00035008,0.00032627,0.0069541,-0.0049464,0,4.4963,-3.1069e-05,4.4767e-06,-2.7847e-05,4.5014,-1.4552e-05,2.4958e-06,-1.2429e-05,1.8348e-07,5.7578e-06,-0.024438,0.15,0.15,9.9356,0.00026684,0.00035617,0.00031743,22.52,-0.3312,-41.902,0,0,-5.2391e-07,0.14875,0.148,0.13273
