time,ref_x,ref_y,ref_z,ref_dx,ref_dy,ref_dz,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,meas_gyro_x,meas_gyro_y,meas_gyro_z,meas_mag_x,meas_mag_y,meas_mag_z,meas_mocap_x,meas_mocap_y,meas_mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.48d678p-15,-0x1.2ba7d4p-15,0x1.d2bc1cp-20,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.64c2717c80e25p-13,0x1.619b526880e25p-13,0x1.632ee1f280e25p-13,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.07b921fbd4dafp-17,-0x1.9de09ee2694a1p-21,-0x1.27a9781c2ebfep-17,0x1.20ce703afb7eap+2,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3eb851eb851ecp+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0
0.0050,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.476278p-14,-0x1.2a3d3p-14,0x1.d29276p-19,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.0e95fb6b964f5p-12,0x1.0b72984b964f5p-12,0x1.0d0450019716dp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.07b921fbd4dafp-17,-0x1.9de09ee2694a1p-21,-0x1.27a9781c2ebfep-17,0x1.20ce703afb7eap+2,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3eb851eb851ecp+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0
0.0100,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,-0x1.90a98ba8fa71bp-27,-0x1.4dec3e5a098e2p-33,0x1.6b095b305ec9dp-51,0x0p+0,0x0p+0,0x0p+0,0x1.e9f64p-14,-0x1.be4c74p-14,0x1.5dcdd2p-18,0x0p+0,0x0p+0,0x0p+0,-0x1.62f2b28392b95p-20,-0x1.356a066cd62b3p-25,0x1.503e16593f727p-43,0x0p+0,0x0p+0,0x0p+0,0x1.3e6e55340e4a9p-12,0x1.39bc1af40e4a9p-12,0x1.3c154a81f3249p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.3a13b58cedd2ap-16,0x1.920fc0ed3b5d4p-19,-0x1.0e4a5c50e9b52p-16,0x1.20ce703afb7eap+2,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3eb851eb851ecp+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.32c20ec36b141p-3,0x1.326b7a0996cbfp-3,0x1.33333332af43p-3
0.0150,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,-0x1.90a98ba8fa71bp-27,-0x1.4dec3e5a098e2p-33,0x1.6b095b305ec9dp-51,0x0p+0,0x0p+0,0x0p+0,0x1.461e34p-13,-0x1.290bbcp-13,0x1.d23d3cp-18,0x0p+0,0x0p+0,0x0p+0,-0x1.62f2b28392b95p-20,-0x1.356a066cd62b3p-25,0x1.503e16593f727p-43,0x0p+0,0x0p+0,0x0p+0,0x1.577030219789dp-12,0x1.512fe4499789dp-12,0x1.54502f05395ddp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.3a13b58cedd2ap-16,0x1.920fc0ed3b5d4p-19,-0x1.0e4a5c50e9b52p-16,0x1.20a5607e5b862p+2,-0x1.43e3ff5bcp-20,-0x1.fc4d4efep-24,-0x1.6b1dbbe8b8p-20,0x0p+0,0x0p+0,-0x1.650e6837658p-8,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e8bb01e7e321p+3,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.6e05a695f8191p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.32c20ec36b141p-3,0x1.326b7a0996cbfp-3,0x1.33333332af43p-3
0.0200,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x1.f335fde361256p-18,0x1.f5fbfebcd91c5p-18,0x1.d58f78363c9p-18,0x0p+0,0x0p+0,0x0p+0,0x1.687c12p-13,-0x1.25056ap-13,0x1.186784p-16,0x0p+0,0x0p+0,-0x1.c908337a1b852p-16,0x1.877ce3a30ca7ap-10,0x1.88303e43eb584p-10,0x1.6ed815e93fa94p-10,-0x1.697c2cff8adb7p-19,-0x1.b630fd79dcb09p-23,-0x1.568ff9b9bc136p-20,0x1.62d997e564527p-12,0x1.5d8faa5ce6c51p-12,0x1.604e872ed0aecp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.a45b12e25c37cp-16,0x1.7149737460b9p-18,-0x1.522f00731e1d3p-16,0x1.20829e801ef6dp+2,-0x1.2b076fe1ap-19,-0x1.d5490085p-23,-0x1.4f3e60e72ap-19,0x0p+0,0x0p+0,-0x1.49a6214f86p-7,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e65e863313d4p+3,0x1.6b32ae3bf9036p-12,0x1.6dcee07648dd8p-12,0x1.6caf169c3e5dp-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.31b67b3d7a78fp-3,0x1.30de4dfce98f6p-3,0x1.333333333334p-3
0.0250,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,-0x1.248020f1fd22p-23,0x1.f335fde361256p-18,0x1.f5fbfebcd91c5p-18,0x1.d58f78363c9p-18,-0x1.ceb36ccc36db7p-27,-0x1.187146108d3ddp-30,-0x1.b67ad93fa90e9p-28,0x1.8aa102p-13,-0x1.210244p-13,0x1.bbb07ep-16,0x0p+0,0x0p+0,-0x1.453bbbc9bdeb8p-14,0x1.877ce3a30ca7ap-10,0x1.88303e43eb584p-10,0x1.6ed815e93fa94p-10,-0x1.013d7ad44ac07p-17,-0x1.37d36f81b495dp-21,-0x1.e78c7eecd9675p-19,0x1.6657ad4ad9968p-12,0x1.63bde0beb6959p-12,0x1.655d215e1018bp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.a45b12e25c37cp-16,0x1.7149737460b9p-18,-0x1.522f00731e1d3p-16,0x1.206532830ce21p+2,-0x1.3f6d7382fp-18,0x1.272b70f38p-22,-0x1.33ddeedcd8p-18,-0x1.57672e11b942ap-27,0x1.1b4a26ec69ca3p-23,-0x1.c991e80d714p-7,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e45ed7181c27p+3,0x1.65fbbabf55c31p-12,0x1.6d69bcde373ecp-12,0x1.6a368d981e664p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.31b67b3d7a78fp-3,0x1.30de4dfce98f6p-3,0x1.333333333334p-3
0.0300,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,0x0p+0,0x0p+0,-0x1.194642fb0d4fep-21,0x1.e05ddee764e13p-16,0x1.e168a4d8d141ep-16,0x1.bcd83110b0b17p-16,-0x1.bcf14f73511c1p-25,-0x1.0dade1a974babp-28,-0x1.a5a6b5948beb8p-26,0x1.ace4dp-13,-0x1.1d4522p-13,0x1.2f203ep-15,-0x1.b78e4f72d8a73p-35,0x1.6a9c5ac8357dbp-31,-0x1.3509ff30da3d7p-13,0x1.862fb7cb540d5p-9,0x1.864dcd165a9c3p-9,0x1.648e0e3909a8bp-9,-0x1.32df3f0789c0bp-16,-0x1.caf4246a048d8p-24,-0x1.0b1b81eafb7e4p-17,0x1.62e2d21d4f8e1p-12,0x1.6729ee993eac7p-12,0x1.65d8bbdc4b568p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.dbaf340efea74p-16,0x1.4a2e2204d2884p-18,-0x1.986d3ce24a51ap-16,0x1.204c4ad23d6a4p+2,-0x1.cf417cad5p-18,0x1.73d2b3688p-21,-0x1.aa94f315d8p-18,-0x1.4a1ca71153994p-25,0x1.1053420be3313p-21,-0x1.1aed267bd42p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e2adb5847353p+3,0x1.5ad7b2a57f7dp-12,0x1.6de8f753b178cp-12,0x1.65acca86a03d2p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.30e6b2adcb874p-3,0x1.2fc1e896bde19p-3,0x1.1e98d11e43ad5p-3
0.0350,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,-0x1.1950d6afe6d17p-42,0x1.d0244b3db51bcp-39,-0x1.526c16bb82f84p-20,0x1.e05ddee764e13p-16,0x1.e168a4d8d141ep-16,0x1.bcd83110b0b17p-16,-0x1.33a23ebd4e552p-23,-0x1.32654a05208e4p-28,-0x1.145c8fe50d183p-24,0x1.ced3f8p-13,-0x1.1986ccp-13,0x1.7ff9d8p-15,-0x1.0a3753930b77p-32,0x1.b73a9e6f59238p-29,-0x1.ea1ca72e2eccdp-13,0x1.862fb7cb540d5p-9,0x1.864dcd165a9c3p-9,0x1.648e0e3909a8bp-9,-0x1.1ab152e0323cep-15,0x1.23da4b6aeddccp-20,-0x1.d45346b25938p-17,0x1.596a552dba4d9p-12,0x1.6988978f709fbp-12,0x1.6320156fc922cp-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.dbaf340efea74p-16,0x1.4a2e2204d2884p-18,-0x1.986d3ce24a51ap-16,0x1.203735ea65e94p+2,-0x1.4522248034p-17,0x1.8023ce968p-20,-0x1.1c61afd916p-17,-0x1.76f2ca4a1f059p-25,0x1.7876dc6ddbe53p-20,-0x1.48c18dcac62p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e13f1249fbf4p+3,0x1.4aaf7c39f1d17p-12,0x1.6f2980e16306fp-12,0x1.5f630c60654f5p-12,0x1.68501e2584f4bp+4,-0x1.532b55ef1fddep-2,-0x1.4f366f9335d24p+5,0x0p+0,0x0p+0,0x0p+0,0x1.30e6b2adcb874p-3,0x1.2fc1e896bde19p-3,0x1.1e98d11e43ad5p-3
0.0400,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,-0x1.9b15e853b675bp-40,0x1.531fd0156053cp-36,-0x1.460c036c88c7ep-19,0x1.010b00bda7d91p-14,0x1.0136a48bfddcfp-14,0x1.d087c08bf4f3p-15,-0x1.4ebd7d592c63ep-22,0x1.0cb3540c3116p-30,-0x1.200b7d665fdeep-23,0x1.f0a7dp-13,-0x1.15f9b8p-13,0x1.d0500ep-15,-0x1.fa2edf479a32ep-32,0x1.5ebe90d7e8234p-27,-0x1.5e4206156b47bp-12,0x1.22e31446b5b03p-8,0x1.22a0b5efa0f1dp-8,0x1.fb62ca826bb1cp-9,-0x1.d020f2a0de5bp-15,0x1.dd14eda122c52p-19,-0x1.704e0e6bde712p-16,0x1.49af9cb8ab9a2p-12,0x1.6c01d7c98485ap-12,0x1.5dbcc82ef5cb6p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.04a0dd58e054ep-15,0x1.2c6d2907fe857p-18,-0x1.d332d08a543e4p-16,0x1.20255d889be98p+2,-0x1.9448b6a3c4p-17,0x1.13f7e0a68p-19,-0x1.588efcc50fp-17,0x1.48c12b426d70ep-27,0x1.9989575d9195bp-19,-0x1.6f8cd1ae87p-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3e008b82adecp+3,0x1.34018841dc4dbp-12,0x1.71bfd0713a5eap-12,0x1.5700c5af3a32p-12,0x1.68501e3935f12p+4,-0x1.532721e9591dap-2,-0x1.4f366f89cdbdfp+5,0x0p+0,0x0p+0,-0x1.194642fb0d4fep-21,0x1.30a39245f9414p-3,0x1.2f18fce99f878p-3,0x1.0fd58e63bf273p-3
0.0450,0x1.8p+1,0x1.8p+1,0x1.8p+1,0x0p+0,0x0p+0,0x0p+0,-0x1.08bffef8a4142p-38,0x1.3541ea52159c2p-34,-0x1.131b2260f6148p-18,0x1.010b00bda7d91p-14,0x1.0136a48bfddcfp-14,0x1.d087c08bf4f3p-15,-0x1.3be42b09fdb7ep-21,0x1.422021b05508dp-26,-0x1.05e148d31de1ep-22,0x1.09046ep-12,-0x1.12650ap-13,0x1.10088p-14,-0x1.c59515cc557dp-32,0x1.b579bdc68eaeep-26,-0x1.d3dfb9d26347bp-12,0x1.22e31446b5b03p-8,0x1.22a0b5efa0f1dp-8,0x1.fb62ca826bb1cp-9,-0x1.58dde7966d15ap-14,0x1.dc71eabb1fd2dp-18,-0x1.096a900ab956bp-15,0x1.340daf78d46c5p-12,0x1.6f156c0e90d1p-12,0x1.561da18b1f2b5p-12,0x1.c7be5fa11bf64p-8,-0x1.442b6f63602ebp-8,0x0p+0,0x1.1fc2f80325f37p+2,-0x1.04a0dd58e054ep-15,0x1.2c6d2907fe857p-18,-0x1.d332d08a543e4p-16,0x1.2016427b54d94p+2,-0x1.e84583cd38p-17,0x1.4efabfde4p-19,-0x1.a1107f16p-17,0x1.8a06822712a5ep-23,0x1.82658f85e8221p-18,-0x1.9063741cd3ap-6,0x1.3333333333333p-3,0x1.3333333333333p-3,0x1.3df0203176f09p+3,0x1.17ce2cb05cd3ap-12,0x1.75776e40e4986p-12,0x1.4cd85494a0ee4p-12,0x1.68501e3935f12p+4,-0x1.532721e9591dap-2,-0x1.4f366f89cdbdfp+5,0x0p+0,0x0p+0,-0x1.194642fb0d4fep-21,0x1.30a39245f9414p-3,0x1.2f18fce99f878p-3,0x1.0fd58e63bf273p-3
