time,ref_x,ref_y,ref_z,ref_dx,ref_dy,ref_dz,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,meas_gyro_x,meas_gyro_y,meas_gyro_z,meas_mag_x,meas_mag_y,meas_mag_z,meas_mocap_x,meas_mocap_y,meas_mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9201e-05,-3.5722e-05,1.7387e-06,0,0,0,0,0,0,0,0,0,0.00017012,0.00016861,0.00016936,0.057548,-0.0041258,0,4.515,-7.8596e-06,-7.7091e-07,-8.8114e-06,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0,0,0
0.0050,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7.8055e-05,-7.1106e-05,3.4762e-06,0,0,0,0,0,0,0,0,0,0.00025805,0.00025506,0.00025655,0.057548,-0.0041258,0,4.515,-7.8596e-06,-7.7091e-07,-8.8114e-06,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0,0,0
0.0100,0,0,3,0,0,0,0,0,0,-1.1661e-08,-1.5185e-10,6.2977e-16,0,0,0,0.00011682,-0.00010641,5.2125e-06,0,0,0,-1.3223e-06,-3.6021e-08,1.4932e-13,0,0,0,0.00030368,0.0002992,0.00030144,0.057548,-0.0041258,0,4.515,-1.872e-05,2.9956e-06,-1.6111e-05,4.5126,0,0,0,0,0,0,0.15,0.15,9.96,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0.14978,0.14962,0.15
0.0150,0,0,3,0,0,0,0,0,0,-1.1661e-08,-1.5185e-10,6.2977e-16,0,0,0,0.00015548,-0.00014162,6.9475e-06,0,0,0,-1.3223e-06,-3.6021e-08,1.4932e-13,0,0,0,0.00032753,0.00032157,0.00032455,0.057548,-0.0041258,0,4.515,-1.872e-05,2.9956e-06,-1.6111e-05,4.513,-1.2066e-06,-1.1835e-07,-1.3527e-06,0,0,0.00080643,0.15,0.15,9.9608,0.00034907,0.00034907,0.00034907,22.52,-0.33122,-41.902,0,0,0,0.14978,0.14962,0.15
0.0200,0,0,3,0,0,0,0,0,0,7.4388e-06,7.4801e-06,7.5745e-06,0,0,0,0.00017187,-0.0001397,1.6713e-05,0,0,4.0322e-06,0.0014934,0.0014961,0.0015149,-2.6933e-06,-2.0405e-07,-1.2761e-06,0.00033841,0.00033337,0.00033599,0.057548,-0.0041258,0,4.515,-2.5053e-05,5.5004e-06,-2.0157e-05,4.5133,-2.2279e-06,-2.1853e-07,-2.4978e-06,0,0,0.0014891,0.15,0.15,9.9615,0.00034637,0.00034886,0.00034779,22.52,-0.33122,-41.902,0,0,0,0.14927,0.14886,0.15
0.0250,0,0,3,0,0,0,0,0,2.0161e-08,7.4388e-06,7.4801e-06,7.5745e-06,-1.3466e-08,-1.0202e-09,-6.3807e-09,0.00018815,-0.00013779,2.6446e-05,0,0,1.1477e-05,0.0014934,0.0014961,0.0015149,-7.6664e-06,-5.8082e-07,-3.6325e-06,0.00034174,0.00033926,0.00034081,0.057548,-0.0041258,0,4.515,-2.5053e-05,5.5004e-06,-2.0157e-05,4.5136,-4.7598e-06,2.749e-07,-4.5876e-06,-1.0011e-08,1.3213e-07,0.0020669,0.15,0.15,9.9621,0.0003414,0.00034849,0.00034543,22.52,-0.33122,-41.902,0,0,0,0.14927,0.14886,0.15
0.0300,0,0,3,0,0,0,0,0,7.7548e-08,2.8632e-05,2.8694e-05,2.9147e-05,-5.1798e-08,-3.9243e-09,-2.4543e-08,0.00020449,-0.000136,3.6136e-05,-5.0053e-11,6.6066e-10,2.1812e-05,0.0029769,0.0029778,0.0030335,-1.8291e-05,-1.0686e-07,-7.9604e-06,0.00033845,0.00034253,0.00034127,0.057548,-0.0041258,0,4.515,-2.8351e-05,4.9176e-06,-2.4344e-05,4.5138,-6.903e-06,6.9257e-07,-6.3566e-06,-3.8508e-08,5.0827e-07,0.002556,0.15,0.15,9.9626,0.00033077,0.00034896,0.00034111,22.52,-0.33122,-41.902,0,0,0,0.14888,0.14832,0.15149
0.0350,0,0,3,0,0,0,-2.5027e-13,3.3033e-12,1.8661e-07,2.8632e-05,2.8694e-05,2.9147e-05,-1.4325e-07,-4.4586e-09,-6.4345e-08,0.00022067,-0.00013422,4.5774e-05,-2.4259e-10,3.202e-09,3.4592e-05,0.0029769,0.0029778,0.0030335,-3.37e-05,1.0872e-06,-1.3957e-05,0.00032941,0.00034479,0.00033867,0.057548,-0.0041258,0,4.515,-2.8351e-05,4.9176e-06,-2.4344e-05,4.514,-9.6894e-06,1.4307e-06,-8.4752e-06,-4.3752e-08,1.4057e-06,0.0029701,0.15,0.15,9.963,0.00031537,0.00035015,0.00033511,22.52,-0.33122,-41.902,0,0,0,0.14888,0.14832,0.15149
0.0400,0,0,3,0,0,0,-1.4632e-12,1.9313e-11,3.5957e-07,6.1284e-05,6.1324e-05,6.2587e-05,-3.1175e-07,9.7753e-10,-1.3413e-07,0.0002368,-0.00013252,5.5351e-05,-4.6136e-10,1.0231e-08,4.9442e-05,0.0044386,0.0044346,0.0045549,-5.5328e-05,3.5539e-06,-2.1953e-05,0.00031441,0.00034714,0.00033354,0.057548,-0.0041258,0,4.515,-3.1067e-05,4.4742e-06,-2.7847e-05,4.5141,-1.2048e-05,2.0554e-06,-1.0269e-05,9.5932e-09,3.0593e-06,0.0033205,0.15,0.15,9.9633,0.00029374,0.00035262,0.00032711,22.52,-0.3312,-41.902,0,0,7.7548e-08,0.14875,0.148,0.15256
0.0450,0,0,3,0,0,0,-3.77e-12,7.0467e-11,6.0678e-07,6.1284e-05,6.1324e-05,6.2587e-05,-5.8839e-07,1.8747e-08,-2.4389e-07,0.00025271,-0.00013082,6.4858e-05,-4.1339e-10,2.5527e-08,6.6045e-05,0.0044386,0.0044346,0.0045549,-8.222e-05,7.0978e-06,-3.164e-05,0.00029378,0.00035008,0.00032627,0.057548,-0.0041258,0,4.515,-3.1067e-05,4.4742e-06,-2.7847e-05,4.5143,-1.4551e-05,2.4948e-06,-1.2429e-05,1.8398e-07,5.7742e-06,0.0036172,0.15,0.15,9.9636,0.00026685,0.00035616,0.00031743,22.52,-0.3312,-41.902,0,0,7.7548e-08,0.14875,0.148,0.15256
0.0500,0,0,3,0,0,0,-5.837e-12,1.981e-10,9.37e-07,0.00010336,0.00010332,0.00010602,-9.9949e-07,5.4236e-08,-4.021e-07,0.00026847,-0.00012912,7.4286e-05,5.065e-10,5.4398e-08,8.4131e-05,0.0058697,0.0058583,0.0060618,-0.0001147,1.1399e-05,-4.3366e-05,0.00026755,0.00035367,0.00031691,0.057548,-0.0041258,0,4.515,-3.3197e-05,3.9881e-06,-3.0858e-05,4.5144,-1.6669e-05,2.8668e-06,-1.4259e-05,5.3227e-07,9.8089e-06,0.0038683,0.15,0.15,9.9639,0.00023437,0.00036047,0.0003057,22.52,-0.3312,-41.902,-1.4632e-12,1.9313e-11,3.5957e-07,0.14872,0.14768,0.15332
0.0550,0,0,3,0,0,0,-3.3045e-12,4.701e-10,1.3577e-06,0.00010336,0.00010332,0.00010602,-1.573e-06,1.1123e-07,-6.1893e-07,0.00028396,-0.00012741,8.3626e-05,3.1678e-09,1.0344e-07,0.00010347,0.0058697,0.0058583,0.0060618,-0.00015191,1.6342e-05,-5.6818e-05,0.00023613,0.00035792,0.00030565,0.057548,-0.0041258,0,4.515,-3.3197e-05,3.9881e-06,-3.0858e-05,4.5145,-1.888e-05,3.1135e-06,-1.6345e-05,1.0916e-06,1.5437e-05,0.0040809,0.15,0.15,9.9641,0.00019716,0.00036541,0.00029225,22.52,-0.3312,-41.902,-1.4632e-12,1.9313e-11,3.5957e-07,0.14872,0.14768,0.15332
