time,ref_x,ref_y,ref_z,x,y,z,est_x,est_y,est_z,phi,theta,psi,est_phi,est_theta,est_psi,dx,dy,dz,est_dx,est_dy,est_dz,p,q,r,est_p,est_q,est_r,ref_phi,ref_theta,ref_psi,cmd_T,cmd_tau_phi,cmd_tau_theta,cmd_tau_psi,real_T,real_tau_phi,real_tau_theta,real_tau_psi,acc_x,acc_y,acc_z,meas_acc_x,meas_acc_y,meas_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mocap_x,mocap_y,mocap_z,p_ddot_hat_x,p_ddot_hat_y,p_ddot_hat_z
0.0000,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0050,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0100,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0150,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5511e-17,-2.7756e-17,-3.4694e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0200,-3,-3,-3,0,0,0,8.4703e-22,-8.4703e-22,-8.4703e-22,0,0,0,0,0,0,0,0,0,0,-4.3368e-19,6.5052e-19,1.2391e-16,-4.7854e-17,-3.2734e-18,6.0173e-17,-2.3148e-17,-1.5721e-18,0,0,0,0,-1.3959e-18,6.0139e-19,8.1315e-20,-8.8818e-16,5.5511e-17,2.7756e-17,0,0,0,-1.7764e-15,0,0,-1.7764e-15,1.2392e-16,-4.7813e-17,-3.2526e-18,0,0,0,0,0,0,2.7756e-17,0,0
0.0250,-3,-3,-3,0,0,0,8.4703e-22,-8.4703e-22,-8.4703e-22,6.1954e-19,-2.3927e-19,-1.6367e-20,0,0,0,0,0,-8.8769e-18,0,-4.3368e-19,6.5052e-19,2.4782e-16,-1.0588e-22,-3.2734e-18,1.5125e-16,-1.1872e-17,-2.4395e-18,0,0,0,0,-1.3959e-18,6.0139e-19,8.1315e-20,-8.8818e-16,2.7756e-17,0,3.4694e-18,-2.3439e-18,-6.0691e-18,-3.5527e-15,0,0,-3.5527e-15,2.4785e-16,0,-3.2526e-18,0,0,0,0,0,0,2.7756e-17,0,0
0.0300,-3,-3,-3,0,0,-4.4469e-20,1.0164e-20,-1.3553e-20,-3.3881e-21,1.8586e-18,-2.3927e-19,-3.2733e-20,0,0,0,-1.172e-20,-3.0345e-20,-2.6644e-17,4.3368e-19,-4.3368e-19,8.6736e-19,3.0977e-16,-1.0588e-22,0,2.2822e-16,-6.0715e-18,-1.1926e-18,0,0,0,0,-5.2855e-18,1.5924e-19,6.0986e-20,-1.7764e-15,0,-8.3267e-17,6.9389e-18,-2.3431e-18,-1.8201e-17,-5.3291e-15,0,0,-5.3291e-15,3.0976e-16,0,0,0,0,0,0,0,0,0,0,-1.7764e-15
0.0350,-3,-3,-3,-5.8598e-23,-1.5173e-22,-1.7788e-19,1.0164e-20,-1.3553e-20,-3.3881e-21,3.4075e-18,-2.3927e-19,-3.273e-20,0,0,0,-2.3435e-20,-1.2135e-19,-5.3316e-17,4.3368e-19,-4.3368e-19,8.6736e-19,3.0977e-16,-1.4356e-16,6.5442e-18,2.678e-16,-7.275e-17,2.6021e-18,0,0,0,0,-5.2855e-18,1.5924e-19,6.0986e-20,-8.8818e-16,2.7756e-17,-8.3267e-17,1.0408e-17,-2.3425e-18,-3.3359e-17,-1.7764e-15,0,0,-1.7764e-15,3.0976e-16,-1.4355e-16,6.5594e-18,0,0,0,0,0,0,0,0,-1.7764e-15
0.0400,-3,-3,-3,-1.7577e-22,-7.5849e-22,-4.4427e-19,1.3553e-20,-1.3553e-20,-6.7763e-20,4.9563e-18,-9.5709e-19,0,0,0,0,-3.5148e-20,-2.8815e-19,-6.2179e-17,0,-2.6021e-18,-1.6914e-17,3.7173e-16,-2.8713e-16,1.6365e-17,3.1827e-16,-1.7672e-16,9.3241e-18,0,0,0,0,-7.3726e-18,4.5994e-18,-4.6756e-19,-8.8818e-16,5.5511e-17,-1.1102e-16,6.9389e-18,-9.3676e-18,-4.8511e-17,-1.7764e-15,0,0,-1.7764e-15,3.7172e-16,-2.871e-16,1.6371e-17,0,-1.6653e-16,0,0,0,-4.4469e-20,2.7756e-17,-2.7756e-17,-5.3291e-15
0.0450,-3,-3,-3,-3.5151e-22,-2.1992e-21,-7.5555e-19,1.3553e-20,-1.3553e-20,-6.7763e-20,6.8148e-18,-2.3927e-18,8.1792e-20,0,0,0,-8.1986e-20,-5.307e-19,-7.1069e-17,0,-2.6021e-18,-1.6914e-17,4.9564e-16,-4.7854e-16,2.2911e-17,4.0435e-16,-3.2309e-16,1.5992e-17,0,0,0,0,-7.3726e-18,4.5994e-18,-4.6756e-19,0,2.7756e-17,-8.3267e-17,6.9389e-18,-2.3414e-17,-6.6687e-17,0,0,0,0,4.9559e-16,-4.7851e-16,2.2931e-17,0,-1.6653e-16,0,0,0,-4.4469e-20,2.7756e-17,-2.7756e-17,-5.3291e-15
